price,currency,bedrooms,bathrooms,parkingSpots,propertySize,neighborhood,lat,lon
381330,USD,3,2,,120,"Zona Urbana Rio Tijuana, Tijuana",32.53093870000001,-117.0176165
2803514,MN,3,3,2,140,"Jardines de La Mesa, Tijuana",32.4605447,-116.9307833
7200000,MN,5,3,2,317,"El Rubi, Tijuana",32.4892109,-117.0338018
6150000,MN,3,2,2,227,"Colinas de Chapultepec, Tijuana",32.4993716,-117.014698
2400000,MN,3,1,2,140,"Ejido Francisco Villa, Tijuana",32.5165825,-116.8954372
350000,USD,4,3,4,282,"La Mesa, Tijuana",32.5036879,-116.9631923
170000,USD,3,2,2,150,"Residencial San Marino, Tijuana",32.4138704,-117.0904405
2700000,MN,3,1,4,221,"Lomas de La Presa, Tijuana",32.4487863,-116.924895
2550000,MN,3,2,2,140,"Lomas de La Presa, Tijuana",32.4487863,-116.924895
400000,USD,3,2,2,200,"San Antonio del Mar, Tijuana",32.4330555,-117.0994444
3950000,USD,4,3,2,168,"Santa Fe, Tijuana",32.4945858,-116.962982
245000,USD,4,3,2,227,"Playas de Tijuana, Tijuana",32.5112896,-117.091176
675000,MN,2,2,1,50,"Villa del Campo, Tijuana",32.513641,-116.7334383
205000,USD,3,3,2,58,"Colinas del Rey, Tijuana",32.4985763,-117.0301235
395000,USD,4,3,2,250,"Chapultepec, Tijuana",32.505132,-117.0102592
150000,USD,3,1,2,160,"Lomas Conjunto Residencial, Tijuana",32.4837712,-116.9580145
1000000,MN,1,1,3,300,"Alfredo Ames, Tijuana",32.4306,-117.009947
3900000,MN,3,2,2,140,"Ampliacion Guaycura, Tijuana",32.505205,-116.9190065
135000,USD,3,2,2,160,"Jose Lopez Portillo, Tijuana",32.4772329,-116.9123818
2052840,MN,4,2,2,120,"Colinas de la Presa, Tijuana",32.4440696,-116.9197426
2850000,MN,3,1,2,150,"Quinta Versalles, Tijuana",32.4336856,-117.0202114
210000,USD,3,2,2,161,"Valle del Alamar, Tijuana",32.5311602,-116.8987638
1020000,MN,3,1,2,94,"El Laurel, Tijuana",32.4633313,-116.835815
185000,USD,3,1,2,158,"Baja Malibu, Tijuana",32.417678,-117.095221
208500,USD,3,2,,144,"La Cuspide, Tijuana",32.5273732,-117.1036785
