price,bedrooms,bathrooms,parkingSpots,propertySize,distance_SY (km),distance_OT (km),location_East,location_Mid-East,location_Mid-West,location_West
170000.0,3.0,2.0,2.0,150.0,15.0,20.0,0,0,1,0
135000.0,3.0,1.0,4.0,221.0,14.0,11.0,0,1,0,0
127500.0,3.0,2.0,2.0,140.0,14.0,11.0,0,1,0,0
400000.0,3.0,2.0,2.0,200.0,14.0,20.0,0,0,1,0
245000.0,4.0,3.0,2.0,227.0,7.0,15.0,0,0,1,0
33750.0,2.0,2.0,1.0,50.0,28.0,20.0,0,0,0,1
205000.0,3.0,3.0,2.0,58.0,5.0,10.0,1,0,0,0
395000.0,4.0,3.0,2.0,250.0,4.0,8.0,1,0,0,0
150000.0,3.0,1.0,2.0,160.0,9.0,7.0,1,0,0,0
50000.0,1.0,1.0,3.0,300.0,12.0,14.0,1,0,0,0
195000.0,3.0,2.0,2.0,140.0,11.0,5.0,0,1,0,0
135000.0,3.0,2.0,2.0,160.0,13.0,8.0,0,1,0,0
102642.0,4.0,2.0,2.0,120.0,15.0,11.0,0,1,0,0
142500.0,3.0,1.0,2.0,150.0,12.0,15.0,1,0,0,0
210000.0,3.0,2.0,2.0,161.0,12.0,4.0,0,1,0,0
51000.0,3.0,1.0,2.0,94.0,20.0,13.0,0,0,0,1
185000.0,3.0,1.0,2.0,158.0,15.0,21.0,0,0,1,0
208500.0,3.0,2.0,1.0,144.0,7.0,16.0,0,0,1,0
350000.0,3.0,3.0,2.0,200.0,7.0,15.0,0,0,1,0
183150.0,4.0,3.0,2.0,168.0,21.0,14.0,0,0,0,1
230000.0,2.0,3.0,2.0,750.0,15.0,21.0,0,0,1,0
195000.0,3.0,2.0,2.0,147.0,1.0,9.0,1,0,0,0
245000.0,3.0,2.0,2.0,122.0,5.0,13.0,0,0,1,0
250000.0,6.0,5.0,4.0,400.0,8.0,4.0,1,0,0,0
395000.0,4.0,4.0,7.0,880.0,3.0,11.0,1,0,0,0
97500.0,3.0,1.0,2.0,120.0,8.0,6.0,1,0,0,0
91750.0,3.0,3.0,2.0,98.0,11.0,5.0,0,1,0,0
60000.0,2.0,1.0,1.0,100.0,22.0,15.0,0,0,0,1
111500.0,3.0,1.0,2.0,109.0,21.0,14.0,0,0,0,1
90000.0,3.0,1.0,2.0,157.0,8.0,16.0,0,0,1,0
95000.0,3.0,1.0,1.0,140.0,9.0,7.0,1,0,0,0
230000.0,6.0,5.0,2.0,250.0,13.0,5.0,0,1,0,0
365000.0,3.0,3.0,3.0,300.0,14.0,20.0,0,0,1,0
189200.0,3.0,2.0,2.0,130.0,6.0,5.0,1,0,0,0
92500.0,3.0,1.0,4.0,200.0,21.0,14.0,0,0,0,1
177500.0,3.0,1.0,2.0,200.0,14.0,11.0,0,1,0,0
142500.0,3.0,1.0,1.0,66.0,2.0,8.0,1,0,0,0
189200.0,3.0,2.0,2.0,114.0,15.0,20.0,0,0,1,0
264350.0,2.0,1.0,1.0,300.0,7.0,15.0,0,0,1,0
64164.2,2.0,1.0,1.0,250.0,3.0,9.0,1,0,0,0
110000.0,3.0,2.0,2.0,104.0,8.0,6.0,1,0,0,0
395000.0,3.0,3.0,2.0,283.0,8.0,16.0,0,0,1,0
240000.0,3.0,4.0,2.0,180.0,6.0,14.0,0,0,1,0
110000.0,4.0,2.0,2.0,207.0,8.0,8.0,1,0,0,0
31713.3,2.0,1.0,1.0,150.0,11.0,15.0,0,0,1,0
85000.0,1.0,1.0,3.0,120.0,8.0,15.0,0,0,1,0
180000.0,2.0,2.0,1.0,97.0,12.0,5.0,0,1,0,0
46374.6,2.0,2.0,1.0,150.0,14.0,11.0,0,1,0,0
67500.0,2.0,1.0,2.0,104.0,21.0,14.0,0,0,0,1
176075.0,3.0,2.0,2.0,101.0,3.0,10.0,1,0,0,0
31000.0,2.0,1.0,2.0,222.0,12.0,17.0,0,0,1,0
172500.0,3.0,2.0,2.0,103.0,12.0,15.0,1,0,0,0
800000.0,3.0,4.0,2.0,502.0,11.0,18.0,0,0,1,0
445000.0,3.0,3.0,6.0,333.0,5.0,4.0,1,0,0,0
205000.0,3.0,2.0,1.0,200.0,5.0,13.0,0,0,1,0
290000.0,5.0,7.0,3.0,391.0,13.0,6.0,0,1,0,0
307900.0,3.0,3.0,3.0,217.0,21.0,14.0,0,0,0,1
157500.0,3.0,3.0,2.0,104.0,13.0,7.0,0,1,0,0
217500.0,3.0,2.0,2.0,136.0,7.0,5.0,1,0,0,0
150000.0,3.0,2.0,1.0,207.0,7.0,6.0,1,0,0,0
289000.0,4.0,2.0,1.0,170.0,6.0,7.0,1,0,0,0
512000.0,3.0,4.0,3.0,334.0,8.0,16.0,0,0,1,0
68000.0,2.0,1.0,2.0,76.0,11.0,15.0,0,0,1,0
